"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;28471867;0.139;31.80;54.49;2.984;10.5;234.3;6.0;0.0;49.96;0.03;0;0;0.00000;147.82104;
1111 1111 0000 0000;28474456;0.139;31.71;54.47;2.984;10.7;234.3;6.3;0.0;49.97;0.04;0;0;0.00000;-0.97955;"Walid is great";
1111 1111 0000 0000;28480067;0.139;31.70;54.46;2.984;10.7;234.2;6.3;0.0;49.98;0.03;0;0;0.00000;-0.98230;
1111 1111 0000 0000;28482048;0.139;32.40;54.44;2.984;10.3;234.3;6.0;0.0;49.99;0.03;0;0;0.00000;-0.98615;
1111 1111 0000 0000;28484046;0.139;31.71;54.47;2.984;10.4;234.2;6.3;0.0;49.98;0.03;0;0;0.00000;-0.97968;
1111 1111 0000 0000;28491027;0.139;32.40;54.43;2.984;10.4;234.2;6.3;0.0;49.98;0.03;0;0;0.00000;-0.97913;"Walid is great";
1111 1111 0000 0000;28492598;0.139;32.41;54.45;2.983;10.3;234.2;6.3;0.0;49.98;0.02;0;0;0.00003;-0.98267;
1111 1111 0000 0000;28494826;0.139;32.40;54.44;2.984;10.5;234.2;6.0;0.0;49.97;0.03;0;0;0.00000;-0.99756;
1111 1111 0000 0000;28500647;0.139;31.80;54.41;2.983;10.3;234.1;6.0;0.0;49.97;0.03;0;0;0.00003;-0.97784;
1111 1111 0000 0000;28502648;0.139;31.70;54.40;2.984;10.5;234.0;6.3;0.0;49.96;0.03;0;0;0.00003;-0.99164;
1111 1111 0000 0000;28504649;0.139;31.20;54.41;2.983;10.5;233.9;6.0;0.0;49.96;0.03;0;0;0.00000;148.89221;
1111 1111 0000 0000;28510649;0.139;32.40;54.41;2.984;10.8;234.1;6.3;0.0;49.97;0.03;0;0;0.00000;-0.96252;
1111 1111 0000 0000;28512687;0.139;31.80;54.41;2.983;10.4;234.1;6.3;0.0;49.97;0.03;0;0;0.00003;148.59009;
1111 1111 0000 0000;28514703;0.139;32.41;54.40;2.983;10.4;234.0;6.0;0.0;49.98;0.03;0;0;0.00000;-0.98553;
1111 1111 0000 0000;28520727;0.139;31.80;54.38;2.985;11.0;234.0;6.0;0.0;49.99;0.03;0;0;0.00003;-0.95959;
1111 1111 0000 0000;28522728;0.139;31.50;54.39;2.984;10.5;234.0;6.0;0.0;49.99;0.04;0;0;0.00000;-0.96057;
1111 1111 0000 0000;28525217;0.139;31.80;54.40;2.983;10.4;234.0;6.0;0.0;49.98;0.02;0;0;0.00003;-0.96277;
1111 1111 0000 0000;28531248;0.139;31.19;54.38;2.984;10.5;233.9;6.0;0.0;50.00;0.02;0;0;0.00000;-0.97064;
1111 1111 0000 0000;28533248;0.139;31.79;54.38;2.984;10.4;233.8;6.0;0.0;50.00;0.03;0;0;0.00003;-0.98187;"Walid is great";
1111 1111 0000 0000;28535249;0.139;31.80;54.45;2.984;10.4;234.0;5.7;0.0;49.99;0.03;0;0;0.00000;-0.99176;
1111 1111 0000 0000;28539609;0.139;33.00;54.37;2.984;10.4;233.9;6.0;0.0;49.99;0.03;0;0;0.00003;-0.99231;
1111 1111 0000 0000;28542150;0.139;32.72;54.40;2.983;10.4;234.1;5.7;0.0;49.98;0.02;0;0;0.00003;-0.99762;
1111 1111 0000 0000;28543717;0.139;32.40;54.40;2.983;10.3;234.3;6.0;0.0;49.99;0.02;0;0;-0.00003;-0.96332;
1111 1111 0000 0000;28545718;0.139;31.80;54.37;2.983;10.4;233.9;6.0;0.0;49.99;0.03;0;0;0.00000;-0.98419;
1111 1111 0000 0000;28549927;0.139;32.40;54.38;2.983;10.4;233.9;6.0;0.0;49.98;0.02;0;0;0.00003;-0.97235;"Walid is great";
